[nan nan nan nan]
[        nan -0.91435608 -0.8323054  -0.91468256]
[        nan  0.17442248  0.42673893 -0.04205859]
[        nan -0.57185951 -0.37027078 -0.69181816]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.91349401 1.21219778 0.6014231 ]
[        nan -0.66920064 -0.60128809 -0.67612349]
[       nan 0.84138947 1.1390423  0.5386444 ]
[        nan -1.30732582 -1.15957992 -1.33216093]
[       nan 1.41462057 1.75123817 1.03773509]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.35828906 0.62310364 0.1180271 ]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.37357203 -0.15850492 -0.51917673]
[        nan -1.41548263 -1.27508857 -1.42632898]
[       nan 0.44120928 0.51914586 0.34403043]
[        nan -1.40827218 -1.31359146 -1.38238389]
[       nan 1.32088467 1.65113067 0.95612277]
[        nan -1.20277424 -1.10182559 -1.19404778]
[        nan -1.39024604 -1.25583713 -1.39807856]
[       nan 1.45067284 1.78204047 1.07540231]
[       nan 1.70303873 1.86674682 1.44265772]
[       nan 0.6178654  0.85412095 0.37855871]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.81566283 -1.79487752 -1.6962774 ]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.13427492 -0.97476607 -1.18149204]
[       nan 3.50565223 3.40686221 3.32601878]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.73409473 -0.63979098 -0.75459686]
[        nan -1.38664081 -1.24428627 -1.4012175 ]
[       nan 0.36189428 0.62695393 0.12116603]
[        nan -0.72688427 -0.53583319 -0.82679237]
[        nan -0.2762309  -0.05454713 -0.43442548]
[        nan -1.5452708  -1.40984867 -1.53933064]
[       nan 1.52277738 1.6742324  1.28571096]
[        nan -0.37357203 -0.25476213 -0.44070335]
[       nan 0.9387306  1.24300009 0.62339565]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan  0.21407997  0.4690921  -0.00753031]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.53133995 0.71166028 0.34403043]
[       nan 0.53855041 0.77326489 0.3063632 ]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.55383338 -0.44727655 -0.60078904]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 0.84138947 1.1390423  0.5386444 ]
[        nan -1.5452708  -1.60236309 -1.38552282]
[       nan 1.52277738 1.48171797 1.44265772]
[       nan 0.9783881  1.28150297 0.66106287]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.98199333 0.71166028 1.1287642 ]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 1.16225468 1.09668913 1.1287642 ]
[       nan 1.88330008 1.57797519 1.99197136]
[        nan -1.45514013 -1.40984867 -1.38552282]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -1.27487878 -1.21733425 -1.22543713]
[        nan -0.91435608 -0.8323054  -0.91154362]
[       nan 1.25238535 1.38546076 1.05029083]
[        nan -1.58853353 -1.50610588 -1.53933064]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.60791178 -0.40877367 -0.72320751]
[       nan 0.98199333 1.19294634 0.73639731]
[       nan 1.16225468 1.09668913 1.1287642 ]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.98199333 1.19294634 0.73639731]
[       nan 0.17081725 0.32663143 0.03013691]
[       nan 0.25013224 0.48064297 0.04269265]
[        nan -0.79538359 -0.60898867 -0.88643214]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.3510786  0.51914586 0.18708367]
[        nan -1.07659129 -0.90931117 -1.13126908]
[       nan 0.89186265 1.09668913 0.65792394]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.5452708  -1.40984867 -1.53933064]
[        nan -0.28704658 -0.06994828 -0.44384229]
[        nan -1.1847481  -1.12107703 -1.15010269]
[       nan 1.16225468 1.09668913 1.1287642 ]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.81254766 1.10053941 0.51667186]
[        nan -0.75212086 -0.56278521 -0.84876492]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.81340972 -0.62824011 -0.90212682]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.80173198 0.9041747  0.65792394]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -1.1847481  -1.02481982 -1.22543713]
[       nan 2.24382278 2.25177567 2.07044474]
[       nan 0.3510786  0.51914586 0.18708367]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.71967382 -0.54353376 -0.8110977 ]
[        nan -0.49614974 -0.29326501 -0.62590053]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -0.57906997 -0.37797136 -0.69809603]
[        nan -0.57546474 -0.95551463 -0.22411683]
[        nan -0.97925016 -0.80535338 -1.04651783]
[        nan -1.30372059 -1.17498107 -1.31018838]
[       nan 1.62011851 1.97070461 1.21665439]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.80791749 0.4225038 ]
[        nan -1.92381964 -1.8333804  -1.85322416]
[        nan  0.08789703  0.33433201 -0.11739304]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.73769995 -0.54738405 -0.83620918]
[        nan -1.50200808 -1.36364521 -1.50166342]
[        nan -0.71967382 -0.54353376 -0.8110977 ]
[       nan 0.84138947 1.1390423  0.5386444 ]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan -0.5033602 -0.2971153 -0.6321784]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.60791178 -0.40877367 -0.72320751]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.7304895  -0.54353376 -0.82993131]
[        nan -0.58988565 -0.40877367 -0.69181816]
[       nan 2.01308825 2.39038605 1.55879831]
[       nan 0.3510786  0.51914586 0.18708367]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -0.87830381 -0.6975453  -0.95862765]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.72688427 -0.53583319 -0.82679237]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.27487878 -1.21733425 -1.22543713]
[        nan -1.95987191 -1.87188329 -1.88461351]
[       nan 0.7116013  0.9041747  0.50097718]
[        nan -1.09461743 -1.02481982 -1.07162931]
[       nan 0.3510786  0.51914586 0.18708367]
[        nan -1.04774948 -0.92856261 -1.06849038]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.27487878 -1.21733425 -1.22857607]
[        nan -0.56464906 -0.38182165 -0.67298455]
[       nan 0.88825742 1.18909605 0.57945056]
[       nan 0.17081725 0.32663143 0.03013691]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.79538359 -0.60898867 -0.88643214]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -1.5452708  -1.40984867 -1.53933064]
[       nan 0.61426017 0.89647413 0.34089149]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.96482926 -0.81305396 -1.01512848]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.26094793 0.42288864 0.10861029]
[        nan -0.41322952 -0.20855867 -0.54742715]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.57185951 -0.38952222 -0.67612349]
[       nan 0.65031244 0.93497701 0.37228084]
[       nan 0.88104697 1.18139547 0.57317269]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -1.1847481  -1.12107703 -1.15010269]
[        nan -0.91435608 -0.8323054  -0.91154362]
[       nan 0.98199333 0.71166028 1.1287642 ]
[        nan -0.8242254  -0.73604819 -0.83620918]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.82696857 1.0735874  0.56375588]
[       nan 0.72602221 1.01583307 0.43819848]
[       nan 2.38803186 2.79081605 1.88524757]
[       nan 0.42678837 0.69240884 0.17766686]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.98199333 1.28535326 0.66106287]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 1.70303873 1.86674682 1.44265772]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.01304933  0.13026672 -0.12994878]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.9057935  -1.98739194 -1.69941633]
[        nan -1.37943036 -1.25583713 -1.37924495]
[       nan 2.06356143 1.96300403 1.99197136]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 1.34251603 1.48171797 1.1287642 ]
[        nan -0.01665455  0.22267364 -0.20842215]
[       nan 3.68951881 4.18077019 3.01840314]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.7116013  0.99658163 0.42564274]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 1.88330008 2.05926124 1.59960447]
[       nan 1.70303873 1.86674682 1.44265772]
[        nan -0.50696543 -0.37027078 -0.58195543]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.35194066 -0.13540319 -0.50034312]
[        nan -1.63540148 -1.69862031 -1.4639962 ]
[       nan 0.34747337 0.51529557 0.18708367]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.25013224 0.48064297 0.04269265]
[        nan -1.5452708  -1.40984867 -1.53933064]
[        nan -0.55383338 -0.63979098 -0.44384229]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.53855041 0.77326489 0.3063632 ]
[       nan 0.7116013  0.42673893 0.89334407]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.25013224 0.48064297 0.04269265]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.64396405 -0.8323054  -0.44384229]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.51057065 -0.3317679  -0.61648372]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.00448675 -0.8323054  -1.06849038]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.53941247 -0.33946847 -0.66356775]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.21133681  0.01475807 -0.37792465]
[        nan -0.05631205  0.13026672 -0.20528322]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 1.94098371 2.31338028 1.49601961]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[        nan -1.08740697 -0.92471232 -1.14068588]
[       nan 0.48807723 0.76171403 0.23102876]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.65391767 0.93497701 0.37541978]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.25013224 0.50759499 0.02385904]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.57460268 0.85412095 0.3063632 ]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.37357203 -0.25476213 -0.44070335]
[       nan 0.52773472 0.80021691 0.26555705]
[        nan -0.73409473 -0.60128809 -0.78598622]
[       nan 2.06356143 2.25177567 1.75655123]
[        nan -1.11985402 -0.97861636 -1.15010269]
[        nan -0.55383338 -0.44727655 -0.60078904]
[        nan -0.55383338 -0.63979098 -0.44384229]
[        nan -0.91435608 -0.8323054  -0.91154362]
[        nan -0.84946199 -0.66674299 -0.93351617]
[        nan -1.76879488 -1.69862031 -1.6962774 ]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 1.06851877 1.28535326 0.81487069]
[       nan 0.6178654  0.90032441 0.34403043]
[        nan -1.44432445 -1.30204059 -1.45144046]
[        nan -0.57546474 -0.3972228  -0.67612349]
[       nan 0.70799607 0.99658163 0.4225038 ]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.072124   1.28920355 0.81487069]
[       nan 3.29294384 1.59337634 4.43406288]
[        nan -0.64396405 -0.44727655 -0.75459686]
[        nan -1.1847481  -1.12107703 -1.15010269]
[       nan 0.3510786  0.51914586 0.18708367]
[        nan -1.9057935  -1.98739194 -1.69941633]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 2.06356143 1.86674682 2.07044474]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.8242254  -0.73604819 -0.83620918]
[        nan -0.4637027  -0.35101934 -0.52231567]
[       nan 2.06356143 2.25177567 1.75655123]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.58853353 -1.50610588 -1.53933064]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.3510786  0.51914586 0.18708367]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -1.09461743 -1.02481982 -1.07162931]
[        nan -0.72688427 -0.66674299 -0.72320751]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.54887603 -1.41754925 -1.54246958]
[       nan 0.7116013  1.00043191 0.42564274]
[       nan 0.6178654  0.85412095 0.37855871]
[        nan -0.4637027  -0.25476213 -0.59765011]
[        nan -0.4637027  -0.35101934 -0.52231567]
[       nan 0.57460268 0.85027066 0.3063632 ]
[        nan -0.64396405 -0.52428232 -0.69181816]
[       nan 0.89186265 1.09668913 0.65792394]
[        nan -1.72553215 -1.98739194 -1.38552282]
[        nan -0.80619927 -0.62053953 -0.89584895]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.11399568  0.05711124 -0.24608938]
[        nan -1.81566283 -1.79487752 -1.6962774 ]
[        nan -1.53084989 -1.40984867 -1.5173581 ]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.35915112 -0.14310376 -0.50662099]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.7116013  0.71166028 0.65792394]
[       nan 0.53133995 0.8040672  0.26869598]
[        nan -0.55383338 -0.44727655 -0.60078904]
[        nan -1.36861468 -1.52150704 -1.14068588]
[       nan 1.18028081 1.49711913 0.8337043 ]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.51057065 -0.30481588 -0.63845627]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.08019652 -0.91701175 -1.13440801]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.09461743 -1.02481982 -1.07162931]
[        nan -0.8242254  -0.67829386 -0.88015427]
[       nan 0.98199333 0.32663143 1.44265772]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -1.49840285 -1.40984867 -1.46085727]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.6719438  0.95807874 0.39111445]
[       nan 3.29294384 1.59337634 4.43406288]
[        nan -0.57906997 -0.37797136 -0.69809603]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.78010061 1.06973711 0.48528251]
[       nan 0.64670722 0.92727643 0.36914191]
[       nan 1.16225468 1.28920355 0.97181745]
[       nan 0.7116013  0.42673893 0.89334407]
[        nan -0.51057065 -0.30481588 -0.63845627]
[        nan  0.09510748  0.34203259 -0.11111517]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.6178654  0.85412095 0.37855871]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.81615288 1.08898855 0.53236653]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.8242254  -0.67829386 -0.88015427]
[        nan -0.28344135 -0.0622477  -0.44070335]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[        nan -0.68722678 -0.54353376 -0.75459686]
[       nan 0.79812675 1.09283884 0.50097718]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.78817313 -0.60128809 -0.88015427]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.93238221 -0.75529963 -1.00571167]
[        nan -1.58853353 -1.50610588 -1.53933064]
[        nan -0.64396405 -0.44727655 -0.75459686]
[        nan -1.81566283 -1.79487752 -1.6962774 ]
[        nan -0.72688427 -0.66674299 -0.72320751]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.64396405 -0.52428232 -0.69181816]
[        nan -1.43711399 -1.29434002 -1.44516259]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.27176361 0.53069672 0.04269265]
[       nan 0.90267833 1.20064692 0.5920063 ]
[       nan 1.21272785 1.5048197  0.8870662 ]
[        nan  0.07347612  0.31508057 -0.12994878]
[        nan  0.14197543  0.39208634 -0.07030901]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.24964219 -1.17498107 -1.21915926]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.37357203 -0.25476213 -0.44070335]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.41597269 0.68470826 0.16825006]
[        nan -1.22801083 -1.07487357 -1.26310435]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.61512224 -0.48577944 -0.67612349]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.59983926 0.86182153 0.34403043]
[        nan -1.49840285 -1.40984867 -1.46085727]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.70885814 -0.52428232 -0.80795876]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[        nan -2.46460369 -2.44942656 -2.29267507]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.98199333 1.19294634 0.73639731]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.22801083 -1.12107703 -1.22543713]
[        nan -0.64396405 -0.63979098 -0.60078904]
[       nan 0.52773472 0.51529557 0.50097718]
[        nan -1.23161605 -1.07872386 -1.26624329]
[       nan 0.17081725 0.32663143 0.03013691]
[        nan -0.56464906 -0.43572569 -0.62590053]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.48086677 0.15336845 0.71128583]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.58181313 0.86182153 0.31264107]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.88190903 -0.77455107 -0.90212682]
[       nan 0.66473335 0.90032441 0.4225038 ]
[        nan -0.64756928 -0.45112684 -0.7577358 ]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 0.62507585 0.9041747  0.3503083 ]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.65391767 0.9388273  0.37541978]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.57546474 -0.37797136 -0.6949571 ]
[        nan -0.31228317 -0.09305001 -0.46581483]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 1.00001946 1.3046047  0.67675755]
[       nan 0.56739222 0.84642038 0.30008533]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 0.62868108 0.91187528 0.35344723]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[       nan 0.61426017 0.89647413 0.34089149]
[        nan -0.68001632 -0.48577944 -0.78598622]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -1.4911924  -1.35209434 -1.49224662]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.86302084 1.16214403 0.55747801]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.00448675 -0.8323054  -1.06849038]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.81701495 -0.6320904  -0.90526575]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.53133995 0.61540307 0.4225038 ]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.6178654  0.85412095 0.37855871]
[       nan 0.7116013  0.42673893 0.89334407]
[        nan -1.00448675 -0.8323054  -1.06849038]
[       nan 0.7116013  0.42673893 0.89334407]
[       nan 0.9387306  1.2391498  0.62339565]
[       nan 0.7116013  0.42673893 0.89334407]
[       nan 3.29294384 1.59337634 4.43406288]
[       nan 0.88825742 1.09283884 0.65792394]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.95040835 -0.77840136 -1.02140635]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.83057379 1.12364115 0.5292276 ]
[       nan 0.83417902 1.12749143 0.53236653]
[       nan 4.04643628 4.17691991 3.6399123 ]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.91435608 -0.8323054  -0.91468256]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.19331068 -0.0622477  -0.28689553]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 1.52277738 1.48171797 1.44265772]
[        nan -1.76879488 -1.69862031 -1.6962774 ]
[       nan 0.81254766 1.06588682 0.54492227]
[        nan -1.5452708  -1.40984867 -1.53933064]
[        nan -1.72553215 -1.98739194 -1.38552282]
[        nan -0.45288702 -0.24321126 -0.5882333 ]
[        nan -0.91435608 -0.8323054  -0.91154362]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[        nan -2.17618553 -2.27616358 -1.93483647]
[        nan -0.57546474 -0.95551463 -0.22411683]
[        nan -1.1847481  -1.12107703 -1.15010269]
[       nan 0.80173198 0.9041747  0.65792394]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.80173198 0.9041747  0.65792394]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.40155178 0.66930711 0.15569432]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 3.29294384 1.59337634 4.43406288]
[        nan -1.01890766 -0.84770655 -1.08104612]
[       nan 0.59623404 0.69240884 0.4758657 ]
[        nan -1.9057935  -1.98739194 -1.69941633]
[        nan -0.22936295 -0.00449338 -0.39361933]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.50696543 -0.44727655 -0.51917673]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.89993517 -1.06332271 -0.70123497]
[       nan 0.28257929 0.5037447  0.08035988]
[       nan 0.53855041 0.77326489 0.3063632 ]
[        nan -1.65342761 -1.52535732 -1.6334987 ]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.31006898 1.63572951 0.94670597]
[       nan 3.29294384 1.59337634 4.43406288]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.90267833 1.17754518 0.61083991]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.77735745 -0.60128809 -0.86445959]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 1.70303873 1.86674682 1.44265772]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -1.99592418 -1.98739194 -1.85322416]
[       nan 0.80173198 0.9041747  0.65792394]
[        nan -1.00448675 -1.02481982 -0.91154362]
[        nan -0.182495   -0.00064309 -0.31514595]
[        nan -1.17753765 -1.01711925 -1.21915926]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.37270996 0.6385048  0.13058284]
[        nan -1.63540148 -1.52535732 -1.60210935]
[        nan -1.5452708  -1.40984867 -1.53933064]
[       nan 0.55657654 0.83486951 0.29066853]
[       nan 1.16225468 1.09668913 1.1287642 ]
[       nan 1.52277738 1.6742324  1.28571096]
[        nan  0.1239493   0.37283489 -0.08600369]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 1.98785166 2.36343403 1.53682577]
[        nan -1.9057935  -1.98739194 -1.69941633]
[        nan -1.00448675 -0.8323054  -1.06849038]
[       nan 1.37496307 1.70888499 1.0032068 ]
[       nan 0.37631519 0.58845105 0.17452793]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.06577561 -0.90161059 -1.12185227]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -2.2663162  -2.37242079 -2.01330985]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan -0.5033602 -0.2971153 -0.6321784]
[       nan 0.93512538 1.18909605 0.65792394]
[       nan -0.9576188 -0.8323054 -0.990017 ]
[       nan 1.7931694  1.6742324  1.75655123]
[        nan -1.53084989 -1.40984867 -1.5173581 ]
[        nan -0.51057065 -0.37412107 -0.58509437]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.24378385 -0.01989453 -0.40617507]
[        nan  0.79812675 -0.44727655  1.75655123]
